,loss,acc,val_loss,val_acc
0,0.3019225597381592,0.8871945142745972,0.26018598675727844,0.9032666683197021
1,0.10089024901390076,0.9616648554801941,0.1819794923067093,0.9310895800590515
2,0.0609913095831871,0.9765074849128723,0.14315780997276306,0.9465354084968567
3,0.03915347531437874,0.9850645065307617,0.1265273243188858,0.9543978571891785
4,0.02520238235592842,0.9909858703613281,0.11729971319437027,0.9590138792991638
5,0.017041780054569244,0.994385838508606,0.11680898815393448,0.9613979458808899
6,0.011981104500591755,0.9961429238319397,0.10917852073907852,0.9648726582527161
7,0.008667227812111378,0.9972429275512695,0.11484694480895996,0.9655320644378662
8,0.006823569070547819,0.9977715015411377,0.10495112836360931,0.9689813852310181
9,0.005207952577620745,0.9985357522964478,0.11960100382566452,0.9651262760162354
